Zrzut pomiarów z pliku PocketTopo .top
========================================
Plik: Czarna-zimna.top
Data tripu: 2011-10-02 00:00:00
Liczba tripów: 1
Liczba strzałów: 756
Liczba referencji: 0
Deklinacja: 0.00°
Komentarz tripu: (brak)

Komentarze do strzałów:
- #83: 1.22 -> (bez stacji docelowej) | syfon
- #143: 1.38 -> (bez stacji docelowej) | do brzegu jeziorka
- #144: 1.38 -> 1.39 | brzeg kamienia
- #195: 1.55 -> 1.56 | do wystepu na skale tuz za wyjsciem z rury, po lewej stronie, troche wyzej niz polowa wysokosci
- #233: 1.67 -> 1.68 | do czubka stalagmita
- #319: 1.91 -> 1.92 | do kraty, przy wejsciu gdzie zwykle zaczepiona na kracie lina. Na wysokosci batinoxa, ok. 50 cm do osi otworu od niego.
- #754: 1.220 -> 1.221 | otwor Zimnej, strop nad otworem, okolo polowy szerokosci

Pełna lista strzałów:
lp	from	to	dist[m]	az[°]	inc[°]	roll[°]	flip	trip	komentarz
183	1.51	1.52	0.810	264.56	-61.07	154.69		0	
184	1.51	1.52	0.810	264.50	-60.95	154.69		0	
185	1.51	1.52	0.810	264.47	-61.10	154.69		0	
186	1.52	1.53	2.030	186.26	32.25	66.09		0	
187	1.52	1.53	2.040	185.99	32.36	66.09		0	
188	1.52	1.53	2.050	186.58	32.40	66.09		0	
189	1.53	1.54	3.150	173.34	26.19	352.97		0	
190	1.53	1.54	3.120	173.14	26.08	352.97		0	
191	1.53	1.54	3.150	172.61	26.10	352.97		0	
192	1.54	1.55	2.210	213.43	36.27	316.41		0	
193	1.54	1.55	2.210	213.28	36.34	316.41		0	
194	1.54	1.55	2.210	213.02	36.54	316.41		0	
195	1.55	1.56	2.000	209.51	46.83	354.38		0	do wystepu na skale tuz za wyjsciem z rury, po lewej stronie, troche wyzej niz polowa wysokosci
196	1.55	1.56	2.000	209.49	46.65	354.38		0	
197	1.55	1.56	2.000	209.16	46.83	354.38		0	
198	1.56	1.57	0.790	223.28	-12.24	109.69		0	
199	1.56	1.57	0.790	223.28	-12.34	112.50		0	
200	1.56	1.57	0.790	223.52	-12.18	113.91		0	
201	1.37	1.57	12.210	278.06	5.09	352.97		0	
202	1.37	1.57	12.240	277.99	5.13	354.38		0	
203	1.37	1.57	12.240	278.06	5.22	352.97		0	
204	1.57	1.59	4.190	202.91	7.60	157.50		0	
205	1.57	1.59	4.180	202.78	7.58	157.50		0	
206	1.57	1.59	4.190	202.68	7.44	157.50		0	
207	1.59	(brak)	4.170	202.75	7.53	157.50		0	
208	1.59	1.60	23.560	143.45	34.49	11.25		0	
209	1.59	1.60	23.550	143.61	34.45	11.25		0	
210	1.59	1.60	23.550	143.51	34.41	11.25		0	
211	1.60	1.61	4.480	128.10	15.25	91.41		0	
212	1.60	1.61	4.490	128.22	15.21	91.41		0	
213	1.60	1.61	4.480	128.19	15.12	91.41		0	
214	1.61	(brak)	11.420	141.70	29.32	35.16		0	
215	1.61	1.62	11.350	141.64	29.39	35.16		0	
216	1.61	1.62	11.340	141.62	29.37	35.16		0	
217	1.61	1.62	11.340	141.63	29.46	35.16		0	
218	1.62	1.63	3.470	152.24	22.70	284.06		0	
219	1.62	1.63	3.470	152.30	22.59	284.06		0	
220	1.62	1.63	3.470	152.28	22.54	282.66		0	
221	1.63	1.64	4.100	145.03	23.64	296.72		0	
222	1.63	1.64	4.100	145.01	23.68	296.72		0	
223	1.63	1.64	4.090	145.09	23.67	296.72		0	
224	1.64	1.65	1.790	154.65	38.83	22.50		0	
225	1.64	1.65	1.780	154.64	38.95	21.09		0	
226	1.64	1.65	1.780	154.64	39.08	21.09		0	
227	1.65	1.66	1.830	175.71	41.09	305.16		0	
228	1.65	1.66	1.830	175.53	41.15	305.16		0	
229	1.65	1.66	1.830	175.53	41.05	305.16		0	
230	1.66	1.67	2.830	163.73	40.76	350.16		0	
231	1.66	1.67	2.830	163.79	40.85	350.16		0	
232	1.66	1.67	2.830	163.64	40.89	350.16		0	
233	1.67	1.68	2.170	186.76	26.49	345.94		0	do czubka stalagmita
234	1.67	1.68	2.180	186.82	26.60	345.94		0	
235	1.67	1.68	2.180	186.77	26.74	345.94		0	
236	1.68	1.69	8.060	87.82	15.20	347.34		0	
237	1.68	1.69	8.060	87.73	15.24	347.34		0	
238	1.68	1.69	8.050	87.93	15.30	347.34		0	
239	1.69	1.70	5.350	45.81	-3.26	40.78		0	
240	1.69	1.70	5.350	45.74	-3.30	40.78		0	
241	1.69	1.70	5.350	45.74	-3.30	40.78		0	
242	1.70	1.71	2.800	60.94	15.25	5.62		0	
243	1.70	1.71	2.810	60.69	15.25	5.62		0	
244	1.70	1.71	2.800	60.85	15.21	5.62		0	
245	1.71	1.72	7.180	117.88	35.18	333.28		0	
246	1.71	1.72	7.180	117.87	35.15	333.28		0	
247	1.71	1.72	7.190	117.76	35.21	333.28		0	
248	1.72	(brak)	2.490	209.79	5.26	317.81		0	
249	1.72	(brak)	1.200	46.77	12.57	90.00		0	
250	1.72	(brak)	1.070	228.17	84.46	292.50		0	
251	1.72	1.73	11.930	89.94	36.72	21.09		0	
252	1.72	1.73	11.920	89.77	36.70	22.50		0	
253	1.72	1.73	11.930	89.88	36.72	22.50		0	
254	1.73	(brak)	2.570	251.66	86.24	284.06		0	
255	1.73	(brak)	2.520	165.03	33.03	338.91		0	
256	1.73	(brak)	2.170	344.93	20.96	202.50		0	
257	1.73	(brak)	14.250	233.56	-10.99	288.28		0	
258	1.73	1.74	8.240	64.64	18.95	23.91		0	
259	1.73	1.74	8.250	64.63	18.89	23.91		0	
260	1.73	1.74	8.250	64.75	18.81	23.91		0	
261	1.74	(brak)	2.140	293.45	-12.56	32.34		0	
262	1.74	(brak)	7.870	49.44	-8.39	129.38		0	
263	1.74	1.75	2.130	271.80	9.28	36.56		0	
264	1.74	1.75	2.130	271.61	9.09	36.56		0	
265	1.74	1.75	2.140	271.91	9.32	35.16		0	
266	1.75	1.76	5.020	41.84	42.71	324.84		0	
267	1.75	1.76	5.030	42.04	42.63	324.84		0	
268	1.75	1.76	5.030	42.12	42.67	324.84		0	
269	1.76	1.77	6.190	149.92	47.06	268.59		0	
270	1.76	1.77	6.190	150.14	47.11	268.59		0	
271	1.76	1.77	6.190	149.78	47.14	268.59		0	
272	1.77	1.78	7.360	50.04	12.12	45.00		0	
273	1.77	1.78	7.360	50.13	11.97	43.59		0	
274	1.77	1.78	7.360	50.17	12.12	43.59		0	
275	1.78	1.79	3.980	78.95	42.94	59.06		0	
276	1.78	1.79	3.980	78.99	42.79	59.06		0	
277	1.78	1.79	3.970	79.12	42.72	59.06		0	
278	1.79	1.80	2.480	81.01	28.27	329.06		0	
279	1.79	1.80	2.480	80.94	28.17	329.06		0	
280	1.79	1.80	2.480	81.05	28.23	329.06		0	
281	1.80	1.81	8.110	167.89	-5.39	1.41		0	
282	1.80	1.81	8.120	167.98	-5.42	1.41		0	
283	1.80	1.81	8.120	168.00	-5.37	1.41		0	
284	1.81	(brak)	4.390	328.36	10.90	326.25		0	
285	1.81	(brak)	8.010	331.84	58.99	310.78		0	
286	1.81	1.82	8.200	278.89	21.79	336.09		0	
287	1.81	1.82	8.190	278.82	21.80	336.09		0	
288	1.81	1.82	8.190	278.88	21.80	336.09		0	
289	1.82	1.83	6.210	263.36	32.74	137.81		0	
290	1.82	1.83	6.210	263.18	32.69	136.41		0	
291	1.82	1.83	6.210	263.20	32.65	136.41		0	
292	1.83	1.84	2.100	306.26	22.92	243.28		0	
293	1.83	1.84	2.090	306.18	22.86	241.88		0	
294	1.83	1.84	2.090	306.26	22.73	241.88		0	
295	1.84	1.85	13.040	283.15	41.31	73.12		0	
296	1.84	1.85	13.020	283.29	41.39	73.12		0	
297	1.84	1.85	13.030	283.39	41.45	73.12		0	
298	1.85	1.86	8.870	236.16	12.77	104.06		0	
299	1.85	1.86	8.870	236.20	12.79	104.06		0	
300	1.85	1.86	8.840	236.35	12.83	104.06		0	
