Gorickovaim   (m, 360)

[1]: 2012/01/12     0.00  


     1.3                   2.756  215.36   41.38  [1]    
     1.3                   0.710  150.46   29.89  [1]    
     1.3                   1.722  240.69   24.76  [1]    
     1.3                   1.324  185.25   36.83  [1]    
     1.3                   1.431  181.93   32.39  [1]    
     1.3                   1.324  182.11   32.25  [1]    
     1.3                   0.941  280.41   85.86  [1]    
     1.3                   3.256  126.32    5.13  [1]    
     1.3                   2.059   99.17  -22.53  [1]    
     1.3                   1.038  314.07  -16.91  [1]    
     1.3                   2.390    7.16  -33.68  [1]    
     1.3                   1.851  355.31  -32.09  [1]    
     1.3                   1.006  274.24    2.01  [1]    
     1.3                   1.936  276.96    3.72  [1]    
     1.3                   0.705  123.66    0.82  [1]    
     1.3                   0.454   42.83   75.24  [1]    
     1.3                   1.259   25.63   -9.54  [1]    
     1.3                   1.715  289.00  -10.83  [1]    
     1.3                   1.872   70.46  -12.64  [1]    
     1.3                   1.730    7.75  -10.77  [1]    
     1.3                   1.423  343.64  -10.66  [1]    
     1.3                   1.733   65.57  -10.56  [1]    
     1.3                   1.324  293.36   -5.65  [1]    
     1.3                   1.303  287.78   -3.14  [1]    
     1.3                   1.216  278.16    1.55  [1]    
     1.3                   1.778   32.18  -13.47  [1]    
     1.3                   1.775   64.98  -10.13  [1]    
     1.3                   1.759   65.14  -10.43  [1]    
     1.3                   1.471  319.41  -10.83  [1]    
     1.3                   6.018  161.49    9.33  [1]    
     1.3                   1.439  205.42   12.41  [1]    
     1.3                   0.955  260.89   86.04  [1]    
     1.3                   1.816  307.22   -4.35  [1]    
     1.3                   0.474   45.04    2.55  [1]    
     1.3                   0.910  290.73   29.24  [1]    
     1.3                   0.896  318.76   84.30  [1]    
     1.3                   1.041  270.77   70.00  [1]    
     1.3                   2.096  220.96   35.46  [1]    
     1.3                   1.474  137.20   15.77  [1]    
     1.3                   2.244  178.29   45.80  [1]    
     1.3                   1.523  261.08    0.42  [1]    
     1.3                   4.713  258.05    0.31  [1]    
     1.3                   2.651   92.83   16.89  [1]    
     1.3                   1.172  228.84    3.07  [1]    
     1.3                   1.013  300.34   -7.38  [1]    
     1.3                   2.713  171.67    9.72  [1]    
     1.3                   2.225  121.46   21.19  [1]    
     1.3                   3.191  171.72   56.54  [1]    
     1.3                   1.667  100.45   -1.19  [1]    
     1.3                   1.192   46.65    1.43  [1]    
     1.3                   1.488   90.51   -0.42  [1]    
     1.3                  84.408   92.01   -5.67  [1]    
     1.3                   1.988   91.62   -5.54  [1]    
     1.3                   0.891  251.52   26.80  [1]    
     1.3                   1.342  135.77   88.01  [1]    
     1.3                   0.411  193.69    2.48  [1]    
     1.3                   2.985  116.61    7.52  [1]    
     1.3                   3.270  118.21   13.00  [1]    
     1.3                   5.018   76.46  -42.21  [1]    
     1.3                   3.054  166.61   51.81  [1]    
     1.3                   3.095  253.48   45.26  [1]    
     1.3                   2.300  177.71   49.70  [1]    
     1.3                   0.550  108.58   14.40  [1]    
     1.3                   0.564  118.34   13.68  [1]    
     1.3                   0.591  311.28   -1.36  [1]    
     1.3                   1.418  347.60    5.95  [1]    
     1.3                   2.371    7.05  -33.29  [1]    
     1.3                   1.208  261.73   10.62  [1]    
     1.3                   0.541  110.71   63.12  [1]    
     1.3                   8.463  286.50  -37.50  [1]    
     1.3                   3.142  269.15    3.14  [1]    
     1.3                   1.143  226.60    8.34  [1]    
     1.3                   1.261  343.39  -32.73  [1]    
     1.3                   1.669   79.22   -9.96  [1]    
     1.3                   1.732  126.25    7.20  [1]    
     1.3                   1.190  181.80   27.27  [1]    
     1.3                   0.760  289.42   -0.94  [1]    
     1.3                   3.297  303.51  -14.34  [1]    
     1.3                   3.628  302.84  -14.51  [1]    
     1.3                   1.133  241.85   16.63  [1]    
     1.3                   2.121   87.47  -24.02  [1]    
     1.3                   3.972   58.98  -35.85  [1]    
     1.3                   8.502   35.70    7.03  [1]    
     1.3                   8.481   46.14    7.27  [1]    
     1.3                   0.498   84.64  -36.28  [1]    
     1.3                   8.492   58.76  -37.24  [1]    
     1.3                   8.492   59.79  -37.49  [1]    
     1.3                   1.928  330.56   -3.26  [1]    
     1.3                   1.946   10.97   -2.18  [1]    
     1.3                   3.137    6.34    2.80  [1]    
     1.3                   0.807  146.72    0.79  [1]    
     1.3                   2.279   81.33   10.79  [1]    
     1.3                   1.288  299.37   -9.42  [1]    
     1.3                   1.095  207.25    7.94  [1]    
     1.3                   1.973  139.38   47.31  [1]    
     1.3                   2.030   91.01   25.09  [1]    
     1.3                   0.910  233.56   -6.07  [1]    
     1.3                   1.098  321.78  -15.46  [1]    
     1.3                   1.301   78.05  -11.28  [1]    
     1.3                   2.688  159.41    5.59  [1]    
     1.3                   2.798  162.30    9.61  [1]    
     1.3                   0.903  110.77   -7.29  [1]    
     1.3                   1.152  352.02   -9.32  [1]    
     1.3                   1.244   51.21  -14.68  [1]    
     1.3                   4.022  116.32   -5.76  [1]    
     1.3                   1.296   76.83  -19.04  [1]    
     1.3                   2.137  195.77   16.99  [1]    
     1.3                   1.140  233.92   16.99  [1]    
     1.3                   1.589  239.07    1.62  [1]    
     1.3                   0.872  186.64   85.48  [1]    
     1.3                   8.439   73.69  -15.09  [1]    
     1.3                   1.605  178.75   10.84  [1]    
     1.3                   1.116   33.94  -13.46  [1]    
     1.3                   1.464  156.24   -2.46  [1]    
     1.3                   3.016   57.33  -13.95  [1]    
     1.3                   0.999  136.37    3.58  [1]    
     1.3                   0.434  213.18    9.49  [1]    
     1.3                   2.438   51.18  -24.81  [1]    
     1.3                   1.152  291.86   -1.28  [1]    
     1.3                   1.214   54.79   81.96  [1]    
     1.3                   2.905  161.97   42.49  [1]    
     1.3                   1.444   33.23    7.52  [1]    
     1.3                   2.458  332.24  -12.22  [1]    
     1.3                   0.268  297.56   11.07  [1]    
     1.3                   0.693  111.21    8.44  [1]    
     1.3                   0.732  156.47   -3.28  [1]    
     1.3                   2.154  192.77  -32.95  [1]    
     1.3                   7.475  161.38  -63.31  [1]    
     1.3                   1.773  180.66  -10.13  [1]    
     1.3                   1.130  101.11   -7.09  [1]    
     1.3                   1.095  101.06    3.96  [1]    
     1.3                   1.103  101.28    4.22  [1]    
     1.3                   4.430  167.54   55.74  [1]    
     1.3                   3.715  157.11   56.15  [1]    
     1.3                   1.074   77.76   10.68  [1]    
     1.3                   0.682  341.17   -9.06  [1]    
     1.3                   1.380  256.32    1.96  [1]    
     1.3                   1.325  123.92   12.23  [1]    
     1.3                   5.103  153.03   -1.13  [1]    
     1.3                   2.452  283.57   14.00  [1]    
     1.3                   1.366  179.35   17.00  [1]    
     1.3                   3.917   60.89   -0.82  [1]    
     1.3                   3.476   61.51    4.87  [1]    
     1.3                   3.225  316.37    7.74  [1]    
     1.3                   0.449  259.03  -37.80  [1]    
     1.3                   3.249   23.76  -21.43  [1]    
     1.3                   3.244   23.40  -21.62  [1]    
