Gorickova   (m, 360)

[1]: 2012/01/12     0.00  


     1.2                   3.814  314.19   -4.62  [1]    
     1.2                   2.456  284.19   16.66  [1]    
     1.2                   2.929  283.86   16.57  [1]    
     1.2                   4.044  231.58   24.81  [1]    
     1.2                   2.955  354.77   -8.04  [1]    
     1.2                   2.458   41.23  -26.89  [1]    
     1.2                   4.263   27.78  -17.09  [1]    
     1.2                   3.895  205.07    0.17  [1]    
     1.2                   2.125  124.10   50.33  [1]    
     1.2                   2.013   20.77   19.26  [1]    
     1.2                   1.970   17.54   46.32  [1]    
     1.2                   3.612  282.74   26.48  [1]    
     1.2                   3.549  288.96   25.60  [1]    
